year,Vanguard Chester Funds: Vanguard Target Retirement 2005 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2010 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2015 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2020 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2025 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2030 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2035 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2040 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2045 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2050 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2055 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2060 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2065 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement 2070 Fund; Investor Class Shares,Vanguard Chester Funds: Vanguard Target Retirement Income Fund; Investor Class Shares
2004,0.07710010022034086,,0.09036855087606388,,0.10109235335897382,,0.11950050330461859,,0.12886407359364327,,,,,,0.06822326332353978
2005,0.035765870312907344,,0.04937722059149263,,0.054467716254221754,,0.06301338746214413,,0.06949684720648763,,,,,,0.03327626217722801
2006,0.0822562552209718,,0.11422408376963378,,0.13244624334633803,,0.1524372034959225,,0.15981823070360957,,,,,,0.06381501519254695
2007,0.08119169845703289,0.07695967513517465,0.07546232234337635,0.07518349316996575,0.07588564131415132,0.07493664180809723,0.07492492654949334,0.07475127295654627,0.07465148373098773,0.07493664180809745,,,,,0.08165451009780988
2008,-0.15817221728897435,-0.2067099739809195,-0.2405755420114457,-0.27037269562684174,-0.30051903637312694,-0.32905570223699054,-0.3465848220640301,-0.3453215552821033,-0.34558349058193205,-0.34616342326231,,,,,-0.10926891714357867
2009,0.16160934523776072,0.19320616921322475,0.21301594604293306,0.23096878770938156,0.24813717140748293,0.2672474045033142,0.2817264090028595,0.2832204230006612,0.28150159843570566,0.2831429902437623,,,,,0.14276720228494044
2010,0.09706809583858766,0.11429066201492533,0.1247112175921965,0.1312450455964036,0.1383765213977226,0.14434930303217253,0.15139595077557866,0.15172754243708297,0.1519348158307936,0.151992379307627,,,,,0.09394886859502383
2011,0.051406649616368316,0.03373903695376512,0.01712797811762945,0.006040671875879644,-0.0036646241682452008,-0.01270586846269628,-0.022401010941698885,-0.025472649214422605,-0.025144556503750026,-0.025404489090476656,-0.02267575405962663,,,,0.05248794825729708
2012,,0.1012305468433019,0.11366991502872081,0.12349099485361692,0.13292377668869548,0.14242617378372602,0.15162450499370617,0.15559001364489133,0.15579027791971445,0.15583061499892836,0.15581029606109054,,,,0.08226971612508116
2013,,0.09095310866712936,0.12996599478200976,0.15849839138341038,0.1814096499526967,0.2048541645482984,0.22822757028844065,0.24374727401738183,0.2437038680225565,0.24343684850436298,0.24329473428247694,0.24347612867047785,,,0.05870724142885475
2014,,0.05925671839515578,0.06562999366973243,0.07118120095408931,0.07168532007884187,0.0716857550695651,0.07238335270296137,0.07147352363368187,0.07159345354893865,0.07176278797421021,0.07197969083006295,0.0716094224475956,,,0.05536309898861469
2015,,-0.002018679812350488,-0.004640317435831376,-0.006826202481649224,-0.008492207347878145,-0.010322915315782999,-0.012563676604335217,-0.015862753261946416,-0.015733579831533007,-0.015751105701048318,-0.017190781402699473,-0.016822348134443388,,,-0.0017197549943545054
2016,,0.05224506337418422,0.0615897459027408,0.06949076088766026,0.07481464656925474,0.07851787872356963,0.08264574832576388,0.08733285000017466,0.08870344762254323,0.08850856749440839,0.08876414337158534,0.08843790701377707,,,0.0525170289391832
2017,,,0.11504796404403872,0.14079989485648126,0.15940428860711875,0.17524910684748507,0.1912201244214149,0.20710516992689,0.21424216910895066,0.2139318882081147,0.21379746811971945,0.21355144943400517,,,0.08473984544900359
2018,,,-0.02972215884856111,-0.04238215423836844,-0.05150669369901473,-0.058561887265955015,-0.06578664611780793,-0.0732401209951774,-0.07898225763612265,-0.07895005052914494,-0.078890098612723,-0.07868077226934611,-0.07945037658853671,,-0.019888402272518535
2019,,,0.14810619579850326,0.17633885775032665,0.19629144303073098,0.21074833052556885,0.22438929619941472,0.2385996571017852,0.249388465920112,0.24982170529004,0.24977488798451963,0.24957661481635252,0.2496361018288813,,0.13156863741665203
2020,,,0.10317826455728873,0.12039176992625067,0.13296403304539517,0.14102320507815702,0.14791744907359727,0.15471893578983975,0.16298178425397536,0.16390647512881595,0.16319376336174818,0.16321711809184358,0.161729699434618,,0.10017928779913521
2021,,,0.05779331440663982,0.08165354330708685,0.0979897864438255,0.11378518702902718,0.12961934307515488,0.1455643844208796,0.1615696444080188,0.1641392663856549,0.16440184735699992,0.16444000087930322,0.1645501681789281,,0.05248011100409511
2022,,,,-0.14151070072883798,-0.1554967120805093,-0.1626687550756486,-0.166199485190483,-0.16978146759779655,-0.1735522191865303,-0.17459799451525482,-0.17457696625612784,-0.1745983712262691,-0.17391551359649582,,-0.12743303254115834
2023,,,,0.12299401205936933,0.14202763967881582,0.15572730900354204,0.1671584501716048,0.17964418867445375,0.19175740266720398,0.19907034641110122,0.19906036573840202,0.1992839901564729,0.19901210750786125,0.20055102626943433,0.10580560429359998
2024,,,,0.0774543383847488,0.09437569543260516,0.10635370377410269,0.11783690711354633,0.1288294619945085,0.13911370588107697,0.14638682838866268,0.1464375404921241,0.14630143527798878,0.14616486375740445,0.14588772516266402,0.0657534594672069
