iter	Passed	Remaining
0	46	4579
1	46	2287
2	46	1511
3	46	1123
4	47	911
5	48	752
6	48	638
7	48	553
8	48	487
9	48	433
10	48	390
11	48	354
12	48	323
13	48	297
14	48	274
15	48	254
16	48	236
17	48	221
18	48	207
19	48	194
20	48	183
21	48	172
22	48	163
23	48	154
24	48	146
25	48	139
26	48	132
27	48	125
28	48	119
29	48	114
30	49	109
31	49	104
32	49	99
33	49	95
34	49	91
35	49	87
36	49	83
37	49	80
38	49	77
39	49	74
40	49	71
41	49	68
42	49	65
43	49	63
44	49	60
45	49	58
46	49	56
47	49	53
48	49	51
49	49	49
50	49	47
51	49	46
52	49	44
53	49	42
54	50	40
55	50	39
56	50	37
57	50	36
58	50	34
59	50	33
60	50	32
61	50	30
62	50	29
63	50	28
64	50	27
65	50	25
66	50	24
67	50	23
68	50	22
69	50	21
70	50	20
71	50	19
72	50	18
73	50	17
74	50	16
75	50	16
76	50	15
77	50	14
78	50	13
79	50	12
80	51	11
81	51	11
82	51	10
83	51	9
84	51	9
85	51	8
86	51	7
87	51	6
88	51	6
89	51	5
90	51	5
91	51	4
92	51	3
93	51	3
94	51	2
95	51	2
96	51	1
97	51	1
98	51	0
99	51	0
