iter	Logloss
0	0.6854827404
1	0.6779328585
2	0.6705008745
3	0.6631782055
4	0.6559708714
5	0.6488701701
6	0.6418773532
7	0.6349906325
8	0.6282111406
9	0.6215320826
10	0.614954114
11	0.6084808707
12	0.6020997763
13	0.5958195925
14	0.5896326303
15	0.5835397243
16	0.5775390863
17	0.5716279745
18	0.5658067465
19	0.5600761175
20	0.5544282198
21	0.5488685369
22	0.5433895588
23	0.5379966497
24	0.5326766968
25	0.5274376869
26	0.522277236
27	0.5171978474
28	0.51218611
29	0.5072530508
30	0.5023930669
31	0.497603327
32	0.4928814769
33	0.4882270694
34	0.4836401343
35	0.4791229069
36	0.4746622443
37	0.4702712893
38	0.465944171
39	0.4616783559
40	0.4574656188
41	0.4533162713
42	0.4492246509
43	0.4451882839
44	0.441211462
45	0.437286675
46	0.4334107637
47	0.4295964837
48	0.4258252382
49	0.4221073389
50	0.4184451103
51	0.4148221016
52	0.4112540483
53	0.4077250063
54	0.4042556286
55	0.4008431435
56	0.3974772096
57	0.3941547871
58	0.3908760548
59	0.3876382709
60	0.3844417334
61	0.3812884688
62	0.3781738877
63	0.3751001358
64	0.3720673323
65	0.3690701127
66	0.3661137819
67	0.3631955683
68	0.3603127599
69	0.3574681878
70	0.3546588421
71	0.3518874049
72	0.3491486311
73	0.3464449346
74	0.3437762856
75	0.3411397934
76	0.3385383785
77	0.3359690309
78	0.3334318995
79	0.3309237361
80	0.3284502923
81	0.3260058761
82	0.3235931396
83	0.3212092519
84	0.3188542724
85	0.3165305853
86	0.3142328858
87	0.3119662404
88	0.3097253442
89	0.3075127602
90	0.3053255677
91	0.3031665087
92	0.301032722
93	0.2989267111
94	0.2968457937
95	0.2947870195
96	0.2927558422
97	0.2907495201
98	0.2887647748
99	0.2867996097
