Name;mWhToken
gpt3-ruf-mortas-llama2-70b-token;7,625
gpt4-ruf-mortas-llama2-70b-token;17,1563
gpt4o-ruf-mortas-token;10,5186
gpt4o-mini-ruf-mortas-token;0,6375
o1-ecologits-token;87,5362
o1mini-ecologits-token;5,1766
gpt41-ecologits-token;54,2316
gpt41mini-ecologits-token;13,3099
gpt41nano-ecologits-token;5,8672
