character,pinyin,ppm
晶,jing1,4095.3421184046406
安,an1,4081.660574579236
乐,le4,4072.539545362298
媛,yuan4,4049.736972319956
铭,ming2,4026.9343992776153
德,de2,4022.373884669146
马,ma3,4013.2528554522096
程,cheng2,3985.8897678014
睿,rui4,3985.8897678014
莉,li4,3963.0871947590567
哲,zhe2,3908.3610194574353
洪,hong2,3876.4374171981567
坤,kun1,3871.876902589688
帅,shuai4,3862.755873372752
远,yuan3,3808.0296980711296
源,yuan2,3794.348154245725
正,zheng4,3766.9850665949134
然,ran2,3757.8640373779776
璐,lu4,3730.500949727168
悦,yue4,3712.258891293294
元,yuan2,3666.6537452086095
秋,qiu1,3630.169628340862
朱,zhu1,3625.609113732394
彬,bin1,3616.4880845154566
利,li4,3598.246026081583
轩,xuan1,3580.0039676477095
胡,hu2,3575.443453039241
凤,feng4,3552.640879996899
彦,yan4,3479.672646261404
锋,feng1,3438.628014785188
刚,gang1,3429.506985568252
瑶,yao2,3411.2649271343776
毅,yi4,3347.4177226158204
钰,yu4,3342.857208007352
郭,guo1,3279.0100034887937
艺,yi4,3237.965372012578
学,xue2,3206.0417697532994
冰,bing1,3196.9207405363622
田,tian2,3187.799711319425
方,fang1,3123.952506800867
威,wei1,3110.270962975462
兰,lan2,3092.0289045415884
奇,qi2,3078.3473607161836
恒,heng2,3032.742214631499
聪,cong1,3023.621185414562
胜,sheng4,3014.5001561976255
彤,tong2,2968.8950101129412
琴,qin2,2932.4108932451936
宝,bao3,2918.7293494197884
生,sheng1,2900.487290985915
良,liang2,2845.7611156842936
帆,fan1,2832.079571858889
晴,qing2,2813.8375134250145
维,wei2,2809.2769988165464
卓,zhuo2,2791.0349403826726
鸿,hong2,2786.474425774204
萌,meng2,2772.7928819487993
昕,xin1,2763.671852731862
锦,jin3,2745.429794297989
忠,zhong1,2727.1877358641145
诗,shi1,2704.3851628217726
何,he2,2681.5825897794302
婧,jing4,2681.5825897794302
辰,chen2,2649.6589875201516
广,guang3,2649.6589875201516
珊,shan1,2608.614356043936
心,xin1,2576.690753784657
冬,dong1,2567.56972456772
惠,hui4,2494.6014908322254
欢,huan1,2485.4804616152887
妍,yan2,2467.2384031814154
霖,lin2,2462.6778885729464
菲,fei1,2448.9963447475416
淑,shu1,2444.435830139073
珍,zhen1,2444.435830139073
迪,di2,2435.314800922136
茹,ru2,2417.0727424882625
大,da4,2398.8306840543887
梓,zi3,2380.5886256205154
璇,xuan2,2371.467596403578
孟,meng4,2371.467596403578
扬,yang2,2366.9070817951097
玮,wei3,2362.3465671866416
可,ke3,2362.3465671866416
梁,liang2,2344.104508752768
馨,xin1,2344.104508752768
武,wu3,2325.862450318894
民,min2,2316.7414211019573
森,sen1,2307.62039188502
少,shao3,2293.938848059615
兵,bing1,2271.136275017273
郑,zheng4,2243.7731873664625
逸,yi4,2234.652158149526
雄,xiong2,2207.2890704987153
昌,chang1,2202.7285558902468
栋,dong4,2198.168041281778
紫,zi3,2189.0470120648406
培,pei2,2166.244439022499
政,zheng4,2152.5628951970943
雷,lei2,2152.5628951970943
蓉,rong2,2148.002380588626
罗,luo2,2148.002380588626
肖,xiao4,2138.8813513716887
越,yue4,2134.32083676322
炜,wei3,2134.32083676322
若,ruo4,2125.199807546284
剑,jian4,2120.6392929378153
岩,yan2,2106.9577491124096
露,lu4,2097.8367198954734
娇,jiao1,2088.715690678536
蕾,lei3,2084.1551760700677
达,da2,2070.4736322446624
靖,jing4,2061.3526030277258
润,run4,2061.3526030277258
叶,ye4,2056.792088419257
皓,hao4,2052.2315738107886
力,li4,2052.2315738107886
川,chuan1,2029.4290007684467
书,shu1,2024.8684861599784
启,qi3,2020.30797155151
朝,chao2,2006.6264277261048
景,jing3,2006.6264277261048
薇,wei1,2002.065913117636
瑜,yu2,1997.5053985091677
福,fu2,1992.9448839006996
硕,shuo4,1988.3843692922312
苏,su1,1974.7028254668255
奕,yi4,1961.0212816414207
锐,rui4,1961.0212816414207
舒,shu1,1947.3397378160153
山,shan1,1947.3397378160153
宗,zong1,1933.6581939906096
韩,han2,1933.6581939906096
长,zhang3,1929.0976793821417
双,shuang1,1906.2951063397993
煜,yu4,1901.7345917313312
丁,ding1,1897.1740771228624
茜,qian4,1878.9320186889888
凌,ling2,1878.9320186889888
夏,xia4,1874.3715040805205
群,qun2,1869.810989472052
宋,song4,1865.2504748635836
科,ke1,1860.6899602551152
如,ru2,1860.6899602551152
卫,wei4,1837.8873872127729
耀,yao4,1833.3268726043048
义,yi4,1833.3268726043048
贤,xian2,1819.6453287788995
进,jin4,1769.4796680857469
潇,xiao1,1769.4796680857469
唐,tang2,1760.35863886881
琼,qiong2,1746.6770950434047
苗,miao2,1737.5560658264678
爱,ai4,1723.8745220010626
曹,cao2,1719.314007392594
冯,feng2,1714.753492784126
吉,ji2,1710.1929781756573
许,xu3,1705.6324635671888
谢,xie4,1696.511434350252
任,ren4,1691.9509197417835
羽,yu3,1687.3904051333154
晗,han2,1687.3904051333154
继,ji4,1682.8298905248469
园,yuan2,1682.8298905248469
南,nan2,1678.2693759163783
桂,gui4,1678.2693759163783
妮,ni1,1673.7088613079102
万,wan4,1673.7088613079102
顺,shun4,1664.587832090973
昱,yu4,1664.587832090973
香,xiang1,1650.9062882655678
腾,teng2,1646.3457736570995
爽,shuang3,1641.7852590486311
虎,hu3,1637.2247444401626
仁,ren2,1614.4221713978206
男,nan2,1614.4221713978206
余,yu2,1600.7406275724152
玥,yue4,1582.4985691385416
彭,peng2,1577.9380545300733
董,dong3,1577.9380545300733
兆,zhao4,1568.8170253131364
希,xi1,1564.256510704668
真,zhen1,1523.2118792284523
袁,yuan2,1509.530335403047
婉,wan3,1504.9698207945785
丰,feng1,1504.9698207945785
珂,ke1,1500.40930618611
会,hui4,1495.8487915776416
路,lu4,1491.2882769691732
鸣,ming2,1486.7277623607047
石,shi2,1482.1672477522363
杜,du4,1477.606733143768
虹,hong2,1463.9251893183628
曦,xi1,1459.3646747098942
芬,fen1,1459.3646747098942
晖,hui1,1454.8041601014259
恩,en1,1450.2436454929575
冉,ran3,1450.2436454929575
传,chuan2,1441.1226162760206
全,quan2,1441.1226162760206
茂,mao4,1441.1226162760206
柳,liu3,1441.1226162760206
禹,yu3,1436.562101667552
吕,lv3,1436.562101667552
畅,chang4,1436.562101667552
树,shu4,1436.562101667552
蕊,rui3,1432.0015870590837
花,hua1,1427.4410724506154
银,yin2,1413.7595286252101
开,kai1,1413.7595286252101
贺,he4,1404.6384994082732
佩,pei4,1390.956955582868
甜,tian2,1386.3964409743996
承,cheng2,1386.3964409743996
魏,wei4,1381.835926365931
诚,cheng2,1377.2754117574625
富,fu4,1377.2754117574625
敬,jing4,1372.7148971489944
盛,sheng4,1359.0333533235892
白,bai2,1354.4728387151206
先,xian1,1340.7912948897153
邓,deng4,1336.2307802812468
贵,gui4,1331.6702656727787
圆,yuan2,1327.10975106431
桐,tong2,1327.10975106431
朋,peng2,1322.5492364558415
仪,yi2,1317.9887218473732
延,yan2,1313.4282072389049
彩,cai3,1313.4282072389049
齐,qi2,1308.8676926304363
友,you3,1308.8676926304363
蒋,jiang3,1304.307178021968
翠,cui4,1304.307178021968
曾,ceng2,1295.1861488050313
依,yi1,1281.504604979626
笑,xiao4,1281.504604979626
尚,shang4,1276.9440903711575
淼,miao3,1276.9440903711575
灵,ling2,1272.3835757626891
潘,pan1,1263.2625465457522
尧,yao2,1263.2625465457522
曼,man4,1263.2625465457522
权,quan2,1258.7020319372837
烨,ye4,1258.7020319372837
巧,qiao3,1254.1415173288156
琛,chen1,1249.581002720347
旺,wang4,1249.581002720347
芸,yun2,1245.0204881118784
钟,zhong1,1245.0204881118784
婕,jie2,1235.8994588949417
姜,jiang1,1231.3389442864732
崔,cui1,1226.778429678005
灿,can4,1217.657400461068
震,zhen4,1217.657400461068
秦,qin2,1203.9758566356627
祺,qi2,1203.9758566356627
黎,li2,1199.4153420271944
士,shi4,1199.4153420271944
冠,guan1,1194.854827418726
跃,yue4,1194.854827418726
萱,xuan1,1190.2943128102575
楚,chu3,1190.2943128102575
汪,wang1,1185.733798201789
柯,ke1,1176.6127689848522
莎,sha1,1172.0522543763839
泉,quan2,1167.4917397679155
范,fan4,1162.931225159447
圣,sheng4,1158.3707105509786
韬,tao1,1153.81019594251
沛,pei4,1149.2496813340417
瑾,jin3,1140.1286521171048
章,zhang1,1135.5681375086365
付,fu4,1126.4471082916996
发,fa1,1121.8865936832312
沈,shen3,1121.8865936832312
治,zhi4,1112.7655644662943
莲,lian2,1108.205049857826
骏,jun4,1094.5235060324205
洲,zhou1,1080.8419622070153
裕,yu4,1076.2814475985472
益,yi4,1076.2814475985472
姚,yao2,1071.7209329900786
克,ke4,1067.16041838161
盼,pan4,1062.599903773142
喜,xi3,1062.599903773142
蔡,cai4,1058.0393891646734
绍,shao4,1058.0393891646734
竹,zhu2,1053.4788745562048
卿,qing1,1053.4788745562048
贝,bei4,1048.9183599477367
贾,jia3,1048.9183599477367
熙,xi1,1048.9183599477367
蒙,meng2,1039.7973307307996
卢,lu2,1039.7973307307996
运,yun4,1039.7973307307996
业,ye4,1035.2368161223312
岳,yue4,1021.5552722969262
乔,qiao2,1021.5552722969262
柏,bai3,1016.9947576884576
昭,zhao1,1016.9947576884576
宜,yi2,1012.4342430799891
晋,jin4,1012.4342430799891
童,tong2,1012.4342430799891
升,sheng1,1007.8737284715208
侯,hou2,1007.8737284715208
常,chang2,1003.3132138630522
廷,ting2,1003.3132138630522
京,jing1,1003.3132138630522
菁,jing1,994.1921846461155
城,cheng2,994.1921846461155
巍,wei1,989.631670037647
尹,yin3,975.9501262122418
才,cai2,975.9501262122418
汉,han4,971.3896116037733
钊,zhao1,971.3896116037733
勤,qin2,953.1475531698997
钦,qin1,948.5870385614313
素,su4,944.0265239529629
伦,lun2,934.905494736026
姗,shan1,934.905494736026
乾,qian2,925.7844655190892
芝,zhi1,925.7844655190892
姣,jiao1,925.7844655190892
加,jia1,925.7844655190892
史,shi3,916.6634363021524
陆,lu4,916.6634363021524
寒,han2,907.5424070852154
连,lian2,907.5424070852154
孝,xiao4,902.9818924767472
太,tai4,898.4213778682787
捷,jie2,889.3003486513418
瀚,han4,889.3003486513418
原,yuan2,889.3003486513418
泓,hong2,884.7398340428734
保,bao3,884.7398340428734
礼,li3,880.179319434405
格,ge2,880.179319434405
伊,yi1,875.6188048259365
迎,ying2,871.0582902174682
风,feng1,871.0582902174682
熊,xiong2,866.4977756089997
纪,ji4,866.4977756089997
易,yi4,861.9372610005314
邹,zou1,861.9372610005314
展,zhan3,857.376746392063
姝,shu1,852.8162317835944
彪,biao1,848.255717175126
菊,ju2,848.255717175126
湘,xiang1,843.6952025666577
淇,qi2,843.6952025666577
宸,chen2,839.1346879581891
蔚,wei4,834.5741733497208
盈,ying2,834.5741733497208
同,tong2,834.5741733497208
霄,xiao1,830.0136587412524
斯,si1,830.0136587412524
弘,hong2,830.0136587412524
祎,yi1,825.453144132784
钧,jun1,816.3321149158472
隆,long2,816.3321149158472
懿,yi4,816.3321149158472
增,zeng1,811.7716003073785
陶,tao2,798.0900564819734
炳,bing3,798.0900564819734
意,yi4,798.0900564819734
晟,cheng2,798.0900564819734
祖,zu3,793.529541873505
昆,kun1,793.529541873505
岚,lan2,793.529541873505
娅,ya4,788.9690272650366
言,yan2,788.9690272650366
喆,zhe2,784.4085126565682
鲁,lu3,784.4085126565682
薛,xue1,784.4085126565682
信,xin4,779.8479980480997
谭,tan2,775.2874834396314
闫,yan2,775.2874834396314
育,yu4,770.7269688311628
仕,shi4,770.7269688311628
赛,sai4,770.7269688311628
亦,yi4,766.1664542226944
木,mu4,766.1664542226944
廖,liao4,761.6059396142261
通,tong1,761.6059396142261
珠,zhu1,761.6059396142261
驰,chi2,757.0454250057576
道,dao4,757.0454250057576
段,duan4,757.0454250057576
翰,han4,752.4849103972892
滨,bin1,752.4849103972892
鹤,he4,738.803366571884
儒,ru2,738.803366571884
语,yu3,734.2428519634155
麟,lin2,729.6823373549472
碧,bi4,729.6823373549472
西,xi1,725.1218227464788
容,rong2,725.1218227464788
钱,qian2,720.5613081380103
泰,tai4,720.5613081380103
代,dai4,720.5613081380103
严,yan2,716.0007935295419
焕,huan4,716.0007935295419
邵,shao4,716.0007935295419
毓,yu4,716.0007935295419
自,zi4,711.4402789210734
炎,yan2,711.4402789210734
申,shen1,711.4402789210734
崇,chong2,706.8797643126051
微,wei1,706.8797643126051
蓓,bei4,702.3192497041366
娴,xian2,702.3192497041366
奥,ao4,697.7587350956682
含,han2,693.1982204871998
臻,zhen1,693.1982204871998
颜,yan2,688.6377058787313
雁,yan4,684.0771912702629
芹,qin2,684.0771912702629
壮,zhuang4,684.0771912702629
郝,hao3,684.0771912702629
阿,a1,684.0771912702629
相,xiang1,679.5166766617946
怀,huai2,674.956162053326
令,ling4,670.3956474448577
奎,kui2,665.8351328363893
顾,gu4,665.8351328363893
韦,wei2,661.2746182279208
善,shan4,661.2746182279208
攀,pan1,661.2746182279208
根,gen1,656.7141036194524
登,deng1,656.7141036194524
冲,chong1,656.7141036194524
存,cun2,656.7141036194524
纯,chun2,656.7141036194524
牛,niu2,652.153589010984
渊,yuan1,652.153589010984
守,shou3,647.5930744025156
轶,yi4,643.0325597940472
舟,zhou1,643.0325597940472
榕,rong2,643.0325597940472
津,jin1,643.0325597940472
邱,qiu1,643.0325597940472
水,shui3,638.4720451855787
尔,er3,638.4720451855787
占,zhan4,638.4720451855787
显,xian3,638.4720451855787
仲,zhong4,629.3510159686418
猛,meng3,629.3510159686418
珺,jun4,629.3510159686418
修,xiu1,629.3510159686418
照,zhao4,629.3510159686418
亭,ting2,629.3510159686418
孔,kong3,624.7905013601735
芮,rui4,620.2299867517052
恺,kai3,620.2299867517052
沁,qin4,620.2299867517052
毛,mao2,620.2299867517052
筱,xiao3,615.6694721432366
斐,fei3,615.6694721432366
坚,jian1,615.6694721432366
宣,xuan1,611.1089575347683
应,ying1,606.5484429262998
昂,ang2,606.5484429262998
庭,ting2,606.5484429262998
戴,dai4,601.9879283178313
峻,jun4,601.9879283178313
基,ji1,601.9879283178313
臣,chen2,588.3063844924261
谦,qian1,588.3063844924261
欧,ou1,588.3063844924261
本,ben3,583.7458698839578
野,ye3,583.7458698839578
韵,yun4,583.7458698839578
影,ying3,579.1853552754893
寅,yin2,579.1853552754893
啸,xiao4,579.1853552754893
诺,nuo4,579.1853552754893
施,shi1,579.1853552754893
焱,yan4,574.6248406670209
邦,bang1,570.0643260585524
杭,hang2,570.0643260585524
前,qian2,565.5038114500841
垚,yao2,565.5038114500841
龚,gong1,565.5038114500841
傲,ao4,560.9432968416156
晔,ye4,560.9432968416156
理,li3,556.3827822331472
名,ming2,556.3827822331472
瑛,ying1,551.8222676246788
枫,feng1,551.8222676246788
俞,yu2,551.8222676246788
艾,ai4,547.2617530162103
柱,zhu4,547.2617530162103
樊,fan2,542.7012384077419
歌,ge1,538.1407237992736
郎,lang2,533.580209190805
伯,bo2,533.580209190805
勋,xun1,533.580209190805
宽,kuan1,529.0196945823367
琨,kun1,529.0196945823367
赫,he4,524.4591799738683
旋,xuan2,524.4591799738683
果,guo3,524.4591799738683
汤,tang1,519.8986653653998
铮,zheng1,519.8986653653998
久,jiu3,510.77763614846305
淳,chun2,510.77763614846305
骁,xiao1,510.77763614846305
均,jun1,510.77763614846305
添,tian1,510.77763614846305
仙,xian1,506.21712153999454
琰,yan3,506.21712153999454
乃,nai3,501.65660693152614
时,shi2,501.65660693152614
翼,yi4,501.65660693152614
芷,zhi3,492.5355777145893
池,chi2,492.5355777145893
楷,kai3,487.9750631061209
季,ji4,483.4145484976525
钢,gang1,483.4145484976525
非,fei1,483.4145484976525
杉,shan1,483.4145484976525
定,ding4,478.85403388918405
卉,hui4,478.85403388918405
温,wen1,474.29351928071566
满,man3,474.29351928071566
予,yu3,469.7330046722472
夫,fu1,469.7330046722472
滢,ying2,465.1724900637788
劲,jin4,460.6119754553104
昀,yun2,456.05146084684185
闯,chuang3,456.05146084684185
遥,yao2,456.05146084684185
经,jing1,456.05146084684185
绪,xu4,446.9304316299051
旻,min2,446.9304316299051
葛,ge2,446.9304316299051
伍,wu3,446.9304316299051
品,pin3,442.3699170214368
麒,qi2,442.3699170214368
幸,xing4,442.3699170214368
邢,xing2,442.3699170214368
司,si1,437.80940241296827
玺,xi3,437.80940241296827
谷,gu3,437.80940241296827
茗,ming2,433.24888780449993
里,li3,433.24888780449993
征,zheng1,433.24888780449993
桃,tao2,433.24888780449993
倪,ni2,428.6883731960314
桥,qiao2,428.6883731960314
师,shi1,424.127858587563
功,gong1,424.127858587563
汝,ru3,419.5673439790946
峥,zheng1,419.5673439790946
闻,wen2,419.5673439790946
铁,tie3,419.5673439790946
泳,yong3,419.5673439790946
耿,geng3,419.5673439790946
多,duo1,419.5673439790946
锴,kai3,415.0068293706262
丛,cong2,415.0068293706262
环,huan2,415.0068293706262
妤,yu2,415.0068293706262
沙,sha1,415.0068293706262
蓝,lan2,415.0068293706262
衡,heng2,415.0068293706262
贞,zhen1,415.0068293706262
熠,yi4,410.4463147621578
宾,bin1,410.4463147621578
郁,yu4,405.8858001536894
佑,you4,405.8858001536894
致,zhi4,405.8858001536894
镇,zhen4,401.32528554522094
举,ju3,401.32528554522094
烁,shuo4,396.7647709367525
妹,mei4,396.7647709367525
莫,mo4,392.2042563282841
娥,e2,392.2042563282841
河,he2,392.2042563282841
宪,xian4,392.2042563282841
溪,xi1,387.6437417198157
棋,qi2,387.6437417198157
屹,yi4,387.6437417198157
殷,yin1,383.0832271113472
唯,wei2,378.5227125028788
霜,shuang1,378.5227125028788
朗,lang3,378.5227125028788
关,guan1,378.5227125028788
鼎,ding3,378.5227125028788
苑,yuan4,378.5227125028788
璟,jing3,378.5227125028788
映,ying4,378.5227125028788
澳,ao4,373.9621978944104
知,zhi1,373.9621978944104
灏,hao4,373.9621978944104
霏,fei1,373.9621978944104
标,biao1,373.9621978944104
好,hao3,373.9621978944104
印,yin4,373.9621978944104
祝,zhu4,373.9621978944104
厚,hou4,369.401683285942
桦,hua4,369.401683285942
衍,yan3,369.401683285942
芊,qian1,369.401683285942
普,pu3,369.401683285942
婵,chan2,369.401683285942
典,dian3,364.8411686774736
丞,cheng2,364.8411686774736
恬,tian2,364.8411686774736
锡,xi1,364.8411686774736
杏,xing4,364.8411686774736
渝,yu2,364.8411686774736
铖,cheng2,360.28065406900515
聂,nie4,360.28065406900515
菡,han4,360.28065406900515
焦,jiao1,360.28065406900515
音,yin1,355.7201394605367
游,you2,355.7201394605367
哈,ha1,355.7201394605367
合,he2,351.1596248520683
祯,zhen1,351.1596248520683
竞,jing4,351.1596248520683
咏,yong3,351.1596248520683
召,zhao4,351.1596248520683
念,nian4,346.5991102435999
儿,er2,346.5991102435999
戈,ge1,346.5991102435999
豆,dou4,346.5991102435999
允,yun3,346.5991102435999
营,ying2,342.03859563513146
法,fa3,342.03859563513146
歆,xin1,342.03859563513146
庞,pang2,342.03859563513146
侠,xia2,342.03859563513146
辛,xin1,337.478081026663
炫,xuan4,337.478081026663
能,neng2,332.91756641819467
伶,ling2,332.91756641819467
誉,yu4,332.91756641819467
桢,zhen1,328.3570518097262
枝,zhi1,328.3570518097262
港,gang3,323.7965372012578
俐,li4,323.7965372012578
井,jing3,323.7965372012578
左,zuo3,319.23602259278937
晏,yan4,319.23602259278937
蝶,die2,319.23602259278937
介,jie4,319.23602259278937
庄,zhuang1,319.23602259278937
柔,rou2,314.6755079843209
曲,qu1,314.6755079843209
望,wang4,314.6755079843209
拓,tuo4,314.6755079843209
潮,chao2,314.6755079843209
墨,mo4,310.1149933758526
靓,jing4,310.1149933758526
纬,wei3,310.1149933758526
浪,lang4,310.1149933758526
策,ce4,310.1149933758526
滔,tao1,305.5544787673841
甲,jia3,305.5544787673841
珏,jue2,305.5544787673841
财,cai2,305.5544787673841
重,zhong4,305.5544787673841
佐,zuo3,305.5544787673841
姿,zi1,305.5544787673841
舜,shun4,305.5544787673841
键,jian4,305.5544787673841
傅,fu4,305.5544787673841
米,mi3,300.9939641589157
翟,di2,300.9939641589157
堂,tang2,300.9939641589157
古,gu3,300.9939641589157
铎,duo2,300.9939641589157
凝,ning2,300.9939641589157
北,bei3,296.4334495504473
秉,bing3,296.4334495504473
包,bao1,296.4334495504473
芯,xin1,296.4334495504473
悠,you1,296.4334495504473
妙,miao4,296.4334495504473
喻,yu4,296.4334495504473
禄,lu4,291.8729349419789
忆,yi4,291.8729349419789
缘,yuan2,291.8729349419789
旗,qi2,291.8729349419789
单,dan1,291.8729349419789
翊,yi4,291.8729349419789
译,yi4,291.8729349419789
溢,yi4,291.8729349419789
煌,huang2,291.8729349419789
澜,lan2,291.8729349419789
祁,qi2,287.31242033351043
汇,hui4,287.31242033351043
彧,yu4,287.31242033351043
骞,qian1,287.31242033351043
烽,feng1,282.75190572504204
昶,chang3,282.75190572504204
铃,ling2,282.75190572504204
实,shi2,278.1913911165736
媚,mei4,278.1913911165736
柴,chai2,278.1913911165736
韶,shao2,273.63087650810513
寿,shou4,273.63087650810513
嵩,song1,273.63087650810513
丙,bing3,273.63087650810513
初,chu1,273.63087650810513
挺,ting3,269.0703618996368
岑,cen2,269.0703618996368
汶,wen4,269.0703618996368
献,xian4,269.0703618996368
拉,la1,269.0703618996368
沐,mu4,269.0703618996368
覃,tan2,269.0703618996368
绮,qi3,269.0703618996368
济,ji4,269.0703618996368
鸽,ge1,269.0703618996368
锟,kun1,264.50984729116834
深,shen1,264.50984729116834
嫣,yan1,264.50984729116834
胤,yin4,264.50984729116834
煊,xuan1,264.50984729116834
州,zhou1,264.50984729116834
豫,yu4,264.50984729116834
璞,pu2,264.50984729116834
岭,ling3,264.50984729116834
特,te4,264.50984729116834
毕,bi4,264.50984729116834
函,han2,259.9493326826999
创,chuang4,259.9493326826999
孜,zi1,259.9493326826999
呈,cheng2,259.9493326826999
荷,he2,259.9493326826999
繁,fan2,259.9493326826999
炯,jiong3,255.38881807423152
旸,yang2,255.38881807423152
稳,wen3,255.38881807423152
乙,yi3,255.38881807423152
娣,di4,255.38881807423152
慈,ci2,255.38881807423152
直,zhi2,255.38881807423152
蕴,yun4,250.82830346576307
曙,shu3,250.82830346576307
声,sheng1,250.82830346576307
研,yan2,250.82830346576307
轲,ke1,250.82830346576307
魁,kui2,246.26778885729465
裴,pei2,246.26778885729465
村,cun1,246.26778885729465
苹,ping2,246.26778885729465
由,you2,241.70727424882625
藤,teng2,241.70727424882625
芃,peng2,241.70727424882625
笛,di2,241.70727424882625
茵,yin1,241.70727424882625
禾,he2,241.70727424882625
朔,shuo4,241.70727424882625
响,xiang3,237.14675964035783
珈,jia1,237.14675964035783
澄,cheng2,237.14675964035783
布,bu4,237.14675964035783
燚,yi4,232.5862450318894
靳,jin4,232.5862450318894
漫,man4,232.5862450318894
慕,mu4,232.5862450318894
融,rong2,232.5862450318894
琬,wan3,228.02573042342095
阮,ruan3,228.02573042342095
瑄,xuan1,228.02573042342095
勃,bo2,228.02573042342095
甫,fu3,228.02573042342095
玄,xuan2,228.02573042342095
庚,geng1,228.02573042342095
骥,ji4,223.46521581495256
阁,ge2,223.46521581495256
赖,lai4,223.46521581495256
洛,luo4,223.46521581495256
甘,gan1,223.46521581495256
管,guan3,223.46521581495256
战,zhan4,223.46521581495256
淞,song1,223.46521581495256
盟,meng2,218.90470120648416
冀,ji4,218.90470120648416
宛,wan3,218.90470120648416
阔,kuo4,218.90470120648416
萧,xiao1,218.90470120648416
公,gong1,218.90470120648416
房,fang2,214.34418659801577
骆,luo4,214.34418659801577
翀,chong1,214.34418659801577
争,zheng1,214.34418659801577
必,bi4,214.34418659801577
殿,dian4,209.7836719895473
牧,mu4,209.7836719895473
效,xiao4,209.7836719895473
嵘,rong2,205.2231573810789
珩,hang2,205.2231573810789
述,shu4,200.66264277261047
席,xi2,200.66264277261047
俏,qiao4,200.66264277261047
迅,xun4,200.66264277261047
霍,huo4,200.66264277261047
赐,ci4,200.66264277261047
奔,ben1,200.66264277261047
