character,pinyin,ppm
文,wen2,27057.533172043135
宇,yu3,22547.184224267865
王,wang2,21931.514752124633
李,li3,20969.24616973779
晓,xiao3,20832.430731483742
张,zhang1,19254.49267695367
佳,jia1,16308.400239883069
伟,wei3,16098.61656789352
明,ming2,15829.546205993885
杰,jie2,15305.087026020015
丽,li4,14712.22012691912
刘,liu2,14370.18153128399
志,zhi4,13462.639124198775
华,hua2,13385.11037585481
鹏,peng2,12691.912155367612
婷,ting2,12144.650402351403
玉,yu4,12099.045256266718
林,lin2,11953.108788795727
子,zi,11775.24871906546
海,hai3,11656.675339245281
陈,chen2,11227.98696604925
龙,long2,11104.8530716206
雨,yu3,10958.916604149612
浩,hao4,10940.67454571574
小,xiao3,10516.546687128175
杨,yang2,10502.865143302772
鑫,xin1,10484.623084868897
俊,jun4,10343.247132006376
慧,hui4,10288.520956704755
雪,xue3,9909.998244201875
飞,fei1,9394.660093444943
东,dong1,9303.449801275576
敏,min3,9212.239509106208
欣,xin1,9111.908187719902
超,chao1,9102.787158502966
涛,tao1,8965.971720248912
静,jing4,8856.51936964567
阳,yang2,8820.035252777923
博,bo2,8792.672165127113
建,jian4,8778.990621301708
红,hong2,8687.780329132338
云,yun2,8578.327978529096
辉,hui1,8578.327978529096
金,jin1,8537.28334705288
强,qiang2,8514.480774010539
艳,yan4,8446.073054883513
思,si1,8277.33401437018
国,guo2,8227.168353677029
梦,meng4,8195.24475141775
瑞,rui4,7930.734904126579
泽,ze2,7876.00872882496
军,jun1,7807.601009697934
春,chun1,7711.830202920098
玲,ling2,7702.70917370316
嘉,jia1,7616.059396142261
天,tian1,7502.04653093055
晨,chen2,7433.638811803524
平,ping2,7397.154694935778
成,cheng2,7337.868005025688
亚,ya4,7296.8233735494705
永,yong3,7283.141829724066
峰,feng1,7169.128964512356
新,xin1,7091.600216168392
旭,xu4,7091.600216168392
燕,yan4,6922.861175655061
凯,kai3,6918.300661046592
丹,dan1,6804.287795834883
洋,yang2,6713.077503665513
怡,yi2,6539.777948543714
豪,hao2,6348.23633498804
宁,ning2,6275.268101252545
琪,qi2,6261.58655742714
芳,fang1,6202.29986751705
娟,juan1,6161.255236040834
琳,lin2,6024.439797786782
赵,zhao4,6010.758253961377
雅,ya3,5987.955680919035
霞,xia2,5983.395166310566
颖,ying3,5905.866417966602
梅,mei2,5800.97458197183
昊,hao4,5746.248406670208
倩,qian4,5682.40120215165
周,zhou1,5591.190909982282
波,bo1,5572.948851548408
洁,jie2,5541.0252492891295
君,jun1,5513.662161638319
家,jia1,5481.73855937904
莹,ying2,5436.133413294357
斌,bin1,5417.891354860482
磊,lei3,5413.330840252014
萍,ping2,5326.681062691115
楠,nan2,5217.228712087872
英,ying1,5185.305109828592
宏,hong2,5157.942022177783
亮,liang4,5153.381507569314
娜,na4,5135.13944913544
荣,rong2,5034.808127749136
勇,yong3,5016.566069315262
健,jian4,5012.005554706793
振,zhen4,5007.445040098325
青,qing1,4975.521437839046
庆,qing4,4961.839894013641
吴,wu2,4943.597835579767
星,xing1,4847.82702880193
智,zhi4,4815.903426542651
琦,qi2,4788.540338891841
江,jiang1,4742.935192807156
雯,wen2,4679.087988288598
黄,huang2,4674.52747368013
立,li4,4501.22791855833
清,qing1,4451.062257865177
康,kang1,4423.699170214367
涵,han2,4396.336082563556
翔,xiang2,4382.654538738152
美,mei3,4305.125790394189
凡,fan2,4296.004761177252
徐,xu2,4286.883731960314
世,shi4,4277.762702743377
航,hang2,4254.960129701036
祥,xiang2,4209.354983616351
孙,sun1,4159.189322923198
高,gao1,4154.62880831473
兴,xing1,4145.507779097794
松,song1,4140.947264489325
秀,xiu4,4122.7052060554515
光,guang1,4118.144691446983
